Character, number of unique words
customer 2, 16
bailiff, 9
female reporter, 49
all the boys, 6
poor girl, 10
fat priest, 9
congressmen, 7
louse 9, 22
louse 8, 5
louse 7, 27
biggie smalls, 6
louse 5, 9
louse 4, 6
louse 3, 3
louse 2, 5
louse 1, 4
blackjack dealer, 31
randy singing, 10
gates, 172
other bikers, 8
karl rove, 10
marklar, 53
large crip, 5
toby, 19
gavin, 54
lead alien, 38
director 9, 2
kylie's mom, 13
rumpertumskin, 63
moroni, 74
aussie crewman, 5
an elderly woman, 6
larry king, 139
death, 4
guy 1, 1
mr.mackey, 10
nick, 35
hotline voice, 85
employee 3, 13
xenu, 3
paula deen, 25
dr adams, 23
joline, 51
isis spokesman, 14
voice 1, 5
voice 2, 7
skier, 2
priest 4, 6
jake, 10
cult leader, 69
schwarzenegger, 21
younger man, 47
man with grey hair, 29
red cross chick, 16
nurse bronski, 74
dr. adams, 265
regis, 43
tom vilsack, 140
mephesto, 640
scuzzlebutt, 3
greenfield, 185
mom, 136
natsako semu, 6
snarf, 42
both sides, 1
rebecca, 191
towel, 7
adams, 77
stranger, 17
nathan's mom, 52
black boy, 1
mr. evans, 187
tom hanks, 28
audience, 45
brunet trekker, 32
midnight vampire, 24
the others, 2
lead scientist, 148
icarus, 12
lead ginger, 39
townsman 15, 6
dale, 4
pirate 8, 7
peter panda, 42
pirate 3, 12
pirate 2, 21
pirate 1, 17
marsh family, 6
pirate 7, 6
pirate 6, 14
pirate 5, 33
lucy, 37
japanese sailor, 3
cowboys, 5
"mr. hankey, 17
really shocked man, 2
denver pitcher, 24
pinkerton, 133
fat plumber, 9
cop 2, 22
cop 1, 30
stagehand, 96
seaman, 81
man in brown shirt, 8
mr. fun, 85
buddha, 53
salon girl, 22
aussie, 172
squirt, 34
townsman 13, 4
matthew mcconaughey, 33
kansas, 24
assembly, 1
vivian, 14
anchor tom, 188
ellen degeneres, 45
richard tweak, 299
broker, 28
electronic head, 15
the broflovskis, 7
francis, 25
newscaster, 147
cartman's bad side, 10
kindergartners, 43
beavery, 89
doctor's assistant, 2
darth chef, 23
marc, 29
oc, 1
ms. havisham, 211
the crew, 2
mr. pratt, 42
protester 6, 1
sarah's mom, 21
"stuart and wife, 3
amber, 24
marilyn manson, 9
ladies, 1
porsche, 98
mr. twig, 56
skunky, 42
orator 2, 42
orator 1, 35
subway representative, 65
millionaire 1, 6
everyone, 34
kyle schwartz, 147
angel, 22
gary, 357
operator, 236
native american chief, 23
fanciful mayor, 203
pirates, 11
joseph smith, 126
mr. hat, 242
shelly, 524
mohawk vamp, 6
driver 3's passenger, 13
liane, 1106
accordionist, 4
lou, 73
mrs. weatherhead, 61
some audience members, 2
shawna, 82
male passenger, 8
new yorker, 13
some kids, 1
co-worker, 2
refugee man 2, 26
atf lead, 148
other boys, 5
mick, 63
webber, 49
bald knight, 9
the streible girls, 1
bundy, 120
bobby flay, 28
mr. connolly, 342
quadraplegic swiss man, 37
av 1, 29
uncle corey, 4
av 3, 7
av 2, 1
a bodyguard, 17
father barnes, 15
aa speaker, 12
pope francis, 17
mr. billings, 144
frat boy 3, 19
lil kim, 4
man in shorts, 20
agent sharp, 28
"neely, 3
taylor, 25
johnny, 16
sussan, 9
boy #1*, 25
dc crew, 3
girl in pink, 112
visitor driver, 1
general, 587
mormons, 18
russell crowe, 395
britain, 40
singers (widelife), 31
jakovasaur kid 2, 3
girlfriend, 43
nurse gollum, 198
varashnu, 18
jack brolin, 39
bishop, 160
townsman 17, 1
townsman 16, 7
tupac's hologram, 19
townsman 14, 2
heather, 39
blonde judge, 3
artsy man, 11
townsman 10, 2
personnel, 7
slim reporter, 28
ringtone, 1
bible vendor, 6
mrs. tenorman, 22
choir girl, 34
blood 6, 3
blood 5, 6
blood 4, 18
gray hare, 4
paris hilton, 15
blood 1, 6
students, 4
lola, 128
canadian man, 16
black woman, 6
toss-a-ball operator, 36
denver guard, 7
mr. bell, 48
terry, 182
chris, 659
boy 3, 50
emo boy, 8
quincy, 94
phlllip, 2
natalie, 59
reporter chris, 100
thc president, 189
wife, 96
new mormon, 8
rookie guard, 10
a nun, 2
pope benedict, 78
profile stan marsh, 66
corey, 198
mr. derp, 54
nelson, 186
sixth graders 2/3, 1
robert, 162
all, 139
crips, 6
token's father, 13
old monk, 52
elvin, 10
crip 2, 11
gene siskel, 2
butt out! lady, 31
swat hansen, 12
emily, 12
jessie, 28
sixth grader 5, 10
sixth grader 4, 19
sixth grader 3, 15
trainer 3, 13
sixth grader 1, 130
trainer 1, 49
tv, 22
danish woman, 5
cheney, 4
player 2, 2
sixth grader 9, 10
gary sr, 22
sports reporter, 13
lion cub 2, 37
lion cub 3, 47
lion cub 1, 36
mysterion, 492
volunteer, 55
volunteer 4, 7
dean howland, 48
woman, 690
head adventurer, 36
rod, 13
chris crocker, 15
grandma marsh's profile, 10
dispatcher 3, 12
dispatcher 2, 9
dispatcher 1, 25
scout, 23
fan, 3
stage hand, 24
voguing skier, 20
alien, 241
big stan, 24
broderick, 29
passenger 2, 11
mitch harris, 15
polly prissy pants, 24
confederates, 2
kenny g, 16
cheesy poofs commercial, 26
damla, 14
lesbians, 5
harry, 149
lisa, 152
becker, 9
tv voice, 20
maggie, 76
cnn anchor, 111
man in wheelchair, 62
townsman 7, 12
ted, 19
promoter, 91
lawyer, 216
dr. carroll, 100
male cps agent, 48
richard, 307
cartman on left, 29
male hippie, 7
associate, 15
border guard, 6
kyan, 58
garth, 8
hc drivers, 1
nurse, 189
paparazzo 9, 26
paparazzo 8, 14
"sheila, 8
little boy, 8
recruits, 1
buds man, 35
fire marshal, 103
paparazzo 2, 5
paparazzo 5, 2
mr. hat actor (!), 4
paparazzo 6, 11
ranger, 40
pioneer paul, 196
palin, 127
popeye, 6
publisher, 69
miss information, 160
garrison's profile, 5
babrady, 59
stella, 154
older man, 213
john ramsey, 82
robert smith, 47
cat burglar, 14
trainer, 90
tree hugger, 13
kenny's mom, 52
hell director, 40
mediator, 71
barker, 164
espn host, 126
spectator 1, 15
mickey mouse, 106
manymoons, 44
ms. garrison, 89
numa numa guy, 1
the colonel, 119
spectator 3, 1
florence, 53
r. wiley, 55
singer (background singers), 106
other fans, 2
archangel, 13
kelly menskin, 1
david letterman, 35
sp adults, 1
poodle, 1
kelly rutherfordmenskin, 1
mr. thompson, 142
glen dumont, 186
pearl, 184
trapper keeper, 16
paparazzo 3, 3
lesbian 7, 12
michael taylor, 15
lesbian 6, 15
some kkk members, 1
lowes pit boss, 12
executive 1, 82
eric roberts (as kevin!), 22
elderly man 6, 14
yolanda, 14
mr. needlebaum, 17
female aide, 8
"jimbo, 3
patron 1, 49
bar patron, 2
elder 3, 15
elder 2, 68
elder 1, 107
lesbian 8, 3
fan 2, 12
vladimir, 91
bishop 3, 5
phillip, 613
lady protester, 21
nagix, 77
wcb president, 52
black player, 15
lady member 2, 37
mrs. streibel, 7
morgan, 34
male, 43
sylvester, 1
shari, 20
peg-leg, 2
"gerald, 17
creature from the black lagoon, 15
autumn, 89
celine, 3
cows, 4
dan akawa, 91
gino, 49
tooth decay, 9
"boys, 6
patrick swayze, 26
police chief, 77
dan snyder, 162
larsen, 71
senator 3, 27
senator 2, 41
senator 1, 26
rick watts, 12
goat, 10
creature, 13
angel 7, 4
uncle stinky, 9
big man, 25
reenactor 2, 1
white bailiff, 7
mrs. biggle, 88
minister of sports, 30
brett, 96
fat cop, 19
brown hare, 3
resident 8, 18
resident 9, 19
tuong, 212
blood, 8
resident 2, 23
resident 3, 32
janitor/farmer 1, 94
resident 1, 63
resident 6, 9
resident 7, 4
resident 4, 75
resident 5, 10
ed mcmahon, 15
a quarantine, 7
susan, 71
leroy, 32
jakovasaur kid 3, 4
k-10, 37
an expert, 32
john edward, 238
the lords, 12
george bailey, 38
a teacher, 18
randy's profile, 8
horatio, 45
"jenny, 2
christina aguilera monster, 2
japanese man 3, 6
japanese man 2, 6
japanese man 1, 6
japanese man 5, 6
lao tse, 21
"nicole, 3
scientist, 143
scott, 661
alex spanos, 16
bum 11, 4
installer, 27
brett favre, 9
bum 12, 2
bum 15, 1
bum 14, 7
bum 17, 3
bum 16, 3
redneck 19, 10
stan and jesus, 4
pimp 2, 49
matthew, 4
mr. weatherhead, 238
gerald, 1432
taller man, 10
other musicians, 6
hildog fan, 3
agent 4, 40
agent 5, 21
agent 6, 44
agent 7, 29
george burns, 22
agent 2, 139
motel clerk, 31
stephen, 1107
speaker, 172
grandmother mother, 11
siimon, 4
agent 8, 20
tom nelson, 43
colleague, 3
cartman, 8915
someone, 13
somebody, 3
president obama, 141
left breast, 17
ceo, 26
males, 14
predator, 10
photographer 3, 2
photographer 2, 12
photographer 1, 3
photographer 4, 3
both kyles, 1
marcus, 77
huddle, 1
redneck 12, 3
sixth grader 6, 11
elder, 123
girls' table, 30
tuong lu kim, 367
funbot, 5
token, 725
ps4 army, 4
new teacher, 14
elderly tree hugger, 5
joanie cunningham, 2
gas mask peta member, 14
crab people, 2
bodybuilder, 9
brunette, 108
proctologist, 53
elderly man 10, 3
elderly man 11, 6
house, 33
yamal, 11
critters, 61
burger king exec, 12
mrs. appleby, 37
principal victoria, 1000
falsetto, 41
zombie mortician, 3
sandy cervix, 103
an official, 6
girl in o t-shirt, 9
chris martin, 79
billy's mom, 10
boy 5, 20
boy 4, 43
the situation, 20
boy 2, 134
boy 1, 198
marcia, 8
gary sr., 139
french delegate, 41
fireman, 50
tron guy, 47
man on porto potty, 32
douglas, 2
monitor man, 2
"mark, 3
gardener, 114
spiky vampire, 27
benjamin, 2
red cross dude, 36
lawrence, 52
mormon 3, 1
the king, 9
lady judge, 31
naked man, 19
snn reporter, 133
show announcer, 10
attendant, 47
schlomo, 22
baby, 9
director, 352
owners, 1
townsperson 2, 6
mrs. garrsion, 31
jambu, 130
jim rome, 172
"mrs, 11
mcgee-zax, 110
finland, 35
the group, 5
american, 3
the scenes, 51
scouts, 15
mrs. mccormick, 373
barber, 11
treasurer 2, 32
chocolate rain guy, 60
former coach, 6
butt out!'s kyle, 36
chef and james taylor, 2
mcdaniels, 16
mrs. testaburger, 90
the human kite, 40
black man, 13
officer barbardy, 12
sailor, 10
pablo, 58
michael collins, 50
nathan's dad, 5
gloria allred, 58
marine, 6
guest, 39
treasurer 1, 40
bhi president, 80
treasurer 3, 26
dr. oz, 110
elderly driver, 32
aide 1, 195
puff daddy, 94
aide 3, 83
aide 2, 203
mama, 117
kindergartner, 13
cartman's good side, 18
murderin' murphy, 37
jarvis, 19
boat ride singers, 21
swiss delegate, 32
premise running thin, 1
both cartmans, 4
female detective, 30
zeus, 30
hippies and kyle, 3
disney exec 3, 14
blonde protester, 11
caroline, 27
dentist, 81
michael bay, 51
head scoutmaster, 87
critter, 7
sir harrington, 64
obama, 454
japanese woman, 42
brunette 2, 2
uaa 2, 5
uaa 3, 16
postum, 176
uaa 1, 18
lion-head alien, 24
duncan everton, 18
stu, 30
officer harris, 7
shlomo, 17
aarp leader, 47
an elderly man, 1
garrison, 191
members, 16
looter 2, 9
looter 1, 4
mickey, 225
obese woman, 31
demon 2, 12
demon 3, 64
demon 1, 84
two kids, 1
the nuggets, 1
oc member 3, 28
oc member 2, 10
oc member 1, 54
blond, 133
zipliner, 1
redheaded prostitute, 6
player 6, 8
numa numa, 7
jeff arrando, 20
a dentist, 2
the office, 3
al roker, 45
emo boy 2, 12
emo boy 1, 29
black woman 2, 7
mr. circlovich, 5
the doctor, 112
the jonas brothers, 7
chairman, 272
michael dorn, 57
kid #2, 7
snn correspondent, 79
mrs. wyland, 4
pianist, 15
fc batter, 20
mr. kitty, 1
foreman, 61
jamie, 26
priest 1, 66
priest 3, 5
priest 2, 29
individual in crowd, 5
kal, 43
country singer, 42
the three spirits, 5
rob schneider, 7
three kids, 7
louse 6, 3
yanogapa, 1
dr. biber, 247
tech 7, 11
grey hat, 46
tech 5, 10
tech 2, 37
tech 3, 41
the japanese, 7
tech 1, 16
aging hippie liberal douche, 69
a hall monitor, 10
guest 4, 1
guest 3, 4
guest 2, 7
guest 1, 2
doctor pal, 136
blond girl, 21
grandmama, 95
fosse, 89
field reporter 3, 50
field reporter 2, 27
thomas, 443
barbrady, 575
dicaprio, 96
passer-by, 4
ginger 1, 48
ginger 2, 19
ginger 3, 17
ginger 4, 13
fireman 1, 43
jared, 306
fireman 3, 3
fireman 2, 67
another ambassador, 26
leader turkey, 2
mccormick parents, 1
duncan, 31
townspeople, 6
american female, 10
martha stewart, 124
gerry's daughters, 1
randy, 3756
stan/kyle, 7
rabbi 3, 22
rabbi 2, 47
rabbi 1, 153
female gambler 1, 6
rabbi 5, 25
rabbi 4, 14
danish man, 32
butters and the freaks, 48
charles biggens, 30
controller 1, 15
controller 2, 24
chief justice, 115
luke, 40
blonde boy, 1
mr. cotswolds, 194
whistle, 2
mother 2, 16
reporters, 4
professor chaos, 284
nc 9 reporter, 68
maintenance guy, 41
michael moore, 16
japanese man 4, 3
pastor phillips, 50
tyler perry, 72
female passenger, 15
inductee, 1
nibblet, 12
a few others, 1
korashki, 52
kids around kenny, 1
witches, 10
inductees, 17
m. c., 32
mrs. hakeem, 23
tad and friends, 2
bart, 59
french canadians, 25
kids around timmy, 1
old cap, 144
kylie, 6
mr. ose, 110
geoff, 45
leslie, 187
elderly lady, 7
lead convict, 20
director 6, 14
bbc anchor, 27
elon musk, 69
ms.mccormick, 2
whistlin' willy, 19
with the kennedys, 8
chinese officer, 3
sergeant yates, 8
fans, 13
female psychic, 72
joe jonas, 26
voice over, 12
brent musberger, 8
director 8, 13
carlos ramirez, 56
steve irwin, 17
shake weight, 170
rosie, 14
the ramseys, 1
wall-mart, 83
frank hammond, 41
teen girl 1, 36
teen girl 2, 26
ike, 496
the broflovskis' answering machine, 10
both, 78
right creature, 3
mr. jabs, 66
canadian 1, 7
man in foreground, 1
elder harris, 52
thom, 117
announcer 3, 50
jeff vanvonderen, 94
ostrich-baby, 3
annie, 68
canadians, 143
canadian 2, 4
patty, 16
brandy's mom, 14
bp man 4, 3
larger group, 11
aaa leader, 39
bp man 3, 14
jeff, 219
sp cabbie, 70
smith, 231
bushy eyebrows boy, 9
tea bag participant, 33
gnomes, 7
biker 3, 5
agents, 2
weasel, 5
a fangirl, 4
the ramseys and condit, 3
ual member 1, 1
devil, 10
garrison 1, 12
principa victoria, 1
dr. phil, 90
swat rescuer hansen, 1
kevern zaksor, 52
nicki, 7
uncle budd, 31
bbc announcer, 5
mrs. hollis, 20
walter, 21
man in background, 2
referee, 97
passengers, 8
older worker, 21
anchor 2, 3
townsman 8, 4
mr. tweek, 10
judge moses, 63
ms. crabtree, 275
top official 2, 28
katherine, 129
representative, 31
guy 2, 1
instructor, 115
a doctor, 17
the males, 24
charlie rose, 129
henrietta's mom, 26
trainee barbrady, 17
rob reiner, 379
"celine, 16
blind man, 5
pilgrim, 35
blonde mother, 16
herbert garrison, 293
governor, 192
male anchor, 13
king claudius, 23
greeley man, 3
mortician, 45
mitchell, 218
guide, 122
oc girl, 13
harrison moore, 128
cheetara, 2
center judge, 61
demon, 1
mrs. crabtree, 13
bridon, 144
mr. farnickle, 8
elder schwartz, 28
dmv official, 32
female agent 2, 26
bearded peta member, 33
white hare, 2
junjun, 29
chase, 39
gacy, 42
italy, 11
grant, 44
netzel, 157
gnome 5, 18
gnome 4, 5
gnome 3, 7
gnome 2, 85
gnome 1, 46
"bebe, 3
mel gibson, 42
franklin, 56
allyson, 138
classmates, 1
the south park boys, 1
raisins girl, 24
donald trump, 1
marklar leader, 46
researcher 3, 3
older woman, 13
other execs, 5
saddam hussein, 83
goth voice, 14
grandpa marvin, 8
reginald, 10
bouncer, 60
american male 3, 3
person, 81
boy with red scarf, 4
cpt. taylor, 108
turd sandwich, 58
kelly, 204
strawberry shortcake, 7
the adults, 7
chad's dad, 7
satan and males, 1
white bitch, 14
ambassador, 52
alvin, 8
hazmat official, 10
officers, 4
everyone else, 3
hooded figure, 61
mob, 15
lexus, 137
prince, 141
jessica's mom, 3
blond officer, 10
headless horseman, 7
taller boy, 36
mr. leon, 2
lady, 9
fbi agent, 118
motorcycle driver, 1
dominique and zizi, 1
townsperson 1, 7
townsperson 3, 1
tv announcer, 75
child singers, 11
ferrari, 7
townsfolk, 108
lao tzu, 14
customers, 2
australia, 24
vendor, 5
colleague 2, 9
otter leader, 47
colleague 1, 16
swat officer 1, 12
swat officer 3, 23
swat officer 2, 107
lead tech, 82
falcon, 21
dvda, 13
tough guy 2, 15
tough guy 1, 119
south park men, 1
blonde peta woman, 22
christine, 73
randy's boss, 9
pirate ghost cutout, 1
chorus, 8
fat man, 31
judge 1, 39
donna, 12
patrick, 23
breeder, 90
deckhand, 5
lead knight, 63
goat leader, 18
weird hat guy, 6
psycho janus, 19
lambtor, 15
frakes, 9
bellboy, 14
james cameron, 166
female announcer, 45
trey parker, 42
skynard man, 4
assistant 1, 4
big woman, 21
lars, 26
rick..., 5
jenny's mother, 12
rider 2, 4
secret service agent, 5
fan wearing #3, 8
tough boy 1, 21
tough boy 2, 18
tough boy 3, 11
goateed man, 16
isiah, 26
commentator, 190
brobee, 10
boy in green shirt, 64
cameraman, 74
redneck 2, 4
smithy, 65
liane and eric, 13
ticket salesman, 113
miss aliton, 20
clyde frog, 21
fed, 8
redneck 4, 9
zombie, 4
cochran, 150
jakovasaurs, 3
santa, 324
carol, 77
mint-berry crunch, 307
james hetfield, 14
gnome, 74
the men, 7
tall goth, 106
bald guy, 19
black bailiff, 2
man 11, 79
man 10, 89
man 13, 13
man 12, 48
man 15, 19
man 14, 38
people in audience, 2
man 16, 18
man 19, 4
germany, 15
roadie 2, 8
farmers, 1
paul shaffer, 2
jimmy, 1663
clinton, 91
grammy, 159
terrorists, 1
ethiopian, 7
aliens, 7
the three men, 2
male counselor, 30
other goths, 1
subway rep 2, 26
the gintses, 1
a melvin, 11
steven, 440
one of the cubs, 1
mr. allens, 41
france, 15
katie, 87
michael chertoff, 338
"token, 6
kid 1, 46
sniper, 1
kid 3, 14
kid 2, 48
kid 5, 3
kid 4, 36
hard candy, 6
bloodrayne, 21
man 28, 4
joozian 2, 90
q money, 53
jada pinkett smith, 25
pedo 5, 1
narrator, 1483
mr. mackey's father, 11
butters, 3641
tom cruise, 325
murphy, 283
tech 4, 44
boys, 131
larry, 339
postem, 17
taco bell exec, 41
russian, 66
pirate 4, 39
hares, 17
matt lauer, 54
a girl, 28
mr. t, 5
mormon 4, 15
dogpoo, 39
caller, 31
the class, 11
al-zawahri, 66
camp warden, 110
dr. doctor, 770
inmate, 17
denver team, 1
mr. vladchick, 9
adults, 26
chad, 70
student 1, 38
goodly, 24
older sister, 1
coordinator, 114
jeff white, 28
eager man, 3
stripper, 16
male 1, 45
et reporter, 34
male 2, 23
a bishop, 37
an older girl, 3
crip, 16
michelle obama, 81
pat sajak, 79
actors, 56
ellen, 48
fan wearing #74, 3
mrs. farnickle, 70
lead screener, 62
sorcerer, 88
alias 3, 8
alias 2, 10
korn, 6
spectators, 4
ginger girl, 3
alias 4, 9
tom snyder, 64
young worker, 23
frances, 26
another mayor, 50
another fan, 1
garrison 2, 12
crowd members, 5
the parents, 24
emo girl, 17
dr. chinstrap, 323
many men, 4
some guy, 1
field reporter, 864
barkley, 18
hillary clinton, 38
kyle two, 308
desk officer, 2
police radio, 9
paramedic, 49
a catfish, 10
rescuer, 13
shades vamp, 9
marvin marsh, 4
flannagan, 27
jason, 141
ganz, 133
british delegate, 20
field reporter 1, 80
kindergoth, 22
steve, 392
penis, 10
passenger 1, 35
passenger 4, 7
robin hood, 21
old folks, 2
the mayor, 229
centers, 4
cody, 108
congregants, 7
simon, 5
butt out! man 3, 2
butt out! man 2, 12
butt out! man 1, 17
michael richards, 1
the team, 2
volunteer 1, 10
voice notification, 31
scoutmaster 1, 16
the queer eye guys, 2
scoutmaster 2, 27
gerald/chris, 3
a british person, 277
female reporter 2, 14
volunteer 3, 36
lesbian 5, 4
dickinson, 63
younger boy, 34
lesbian 9, 3
goodell, 93
tsa agent 1, 34
family, 1
nichole, 157
wendy, 1315
fc pitcher, 51
nick jonas, 3
kitty, 15
the other men, 1
guy in leather jacket, 2
jakov, 209
another cardinal, 29
tom green, 14
"clyde, 5
boy sledders, 1
jersey woman, 7
magic, 96
chubby official, 82
michael, 876
a director, 3
ryan, 133
board rep, 149
ghetto avenue boys, 9
funnybot, 209
nut gobbler, 96
dick cheney, 6
uaa woman, 35
worker 2, 135
crab man 2, 33
crab man 3, 21
tour guide 2, 36
carter, 40
sister anne, 201
elvis' hologram, 17
general tso, 87
storm trooper, 12
hyde, 57
lorraine, 6
elise, 104
male member, 1
sondheim, 75
eric cartman, 54
female anchor, 24
kris, 15
agent marx, 28
tom johansen, 28
donald rumsfeld, 5
mr. meryl, 170
mr. hollis, 52
secret service leader, 21
two small voices, 1
collins, 1
lolly, 76
little slave, 14
larson, 48
raccoony, 46
canadian, 4
selena gomez, 15
others, 22
kyle/stan, 1
seniors, 13
brunet, 149
soldier 5, 25
tv newscaster, 26
eugene levy, 8
soldier 4, 36
disfigured country singer, 109
det. harris, 258
"jason, 6
kanye west, 4
residents, 8
gene, 20
secretary 1, 9
"kenny, 5
sheila, 1188
man in yellow jacket, 5
groundskeeper, 15
truck driver, 155
white chef, 26
president bush, 100
ensign, 5
judge 2, 16
judge 3, 1
mcgillicuddy, 56
cia vice head, 52
geldon, 5
judge 4, 24
the clergy, 8
tommy and his dad, 2
filmore*, 1
indian chief, 43
tow truck driver, 2
hippie, 49
choir boy, 34
kit-9, 33
loogie, 242
jim brown-ish, 81
filmore's supporters, 1
red goth, 113
jerry sanders, 40
dp executives, 4
man 29, 4
butler, 175
frida, 14
man 26, 4
jonathan, 249
man 20, 4
man 21, 4
man 22, 4
man 23, 4
profile 6, 9
student 2, 17
student 3, 1
dentists, 2
news 4 anchor, 67
toolshed, 240
exec. 1, 51
exec. 2, 65
exec. 3, 22
exec. 4, 4
elephant man, 74
female gambler 2, 9
reporter 5, 9
reporter 4, 39
little chef, 62
reporter 1, 126
moses, 134
reporter 3, 128
volunteer 2, 51
customer, 62
britney, 67
the kardashians, 1
purple hare 2, 5
gabriel, 77
athlete, 14
hopkins, 40
with males, 9
randy newman, 72
player 70, 21
convict 2, 15
brunette nurse, 8
executor, 73
jordan, 3
ben roethlisberger, 3
guest speaker, 36
american male 2, 9
policeman brown, 21
american male 1, 11
kenny, 1011
patron, 26
café monet diner, 7
tad, 165
robber 3, 20
blaine, 166
lenora, 3
robber 4, 23
enrique, 1
reveler 2, 7
best buy president, 23
moroccan cardinal, 20
ruby tucker, 1
butt out!, 31
lead agent, 59
park county, 5
charlotte poll worker, 9
cartman's side, 1
ss agent, 20
jared fogle, 15
brian, 311
sia, 11
cable guy, 115
sid, 63
obese man 2, 8
deck hand, 13
the new lyrics, 60
chickadee-y, 48
halfy, 6
kyle's team, 3
bill clinton, 27
a singer, 6
randy and the boys, 2
referee 2, 5
da, 94
congressman 3, 23
skid row, 28
congressman 1, 15
black man 3, 2
studio audience, 7
token's mother, 23
puerto rican player, 7
robot, 20
teen 2, 32
ups man, 103
chief, 169
teen 1, 45
nancy, 61
other classmates, 9
the nerds, 1
coucilman, 13
campers, 25
fiancée, 82
cartman and the gingers, 20
alarm: alert., 11
producer, 439
random voices, 3
elin, 56
terrance/phillip, 7
grampa, 202
louse 13, 16
louse 12, 48
louse 11, 8
louse 10, 12
cruise, 83
ghost 2, 63
italian cardinal, 124
"steve ""last call""", 24
the coon, 352
operative, 2
badger, 21
glen, 77
laborer 3, 5
emperor hirohito, 36
laborer 1, 85
reeve, 186
the giant, 8
"craig's father, 23
farmer friend 2, 44
tyler, 25
redhead, 24
"mysterion, 7
jukebox, 26
dad, 233
cheerleader 1, 2
case worker, 37
kip's mom, 55
will smith, 134
townswoman 2, 2
dan, 132
mall hankey, 42
prime minister, 46
dougie, 237
annoncer, 51
great-great-grampa, 56
woodsy owl, 24
hippies, 23
leonardo dicaprio, 12
a politician, 2
mother 1, 10
wrangler, 5
replacement friend, 2
a santa, 33
chief of security, 85
mountie, 10
boy in blue vest, 84
billy, 224
jay leno, 57
teen girl, 79
the family, 1
princesses, 26
blond cop, 5
alf leader, 108
dp executive 1, 10
dp executive 2, 8
dp executive 3, 24
dp executive 4, 3
dp executive 5, 6
dp executive 6, 17
trooper, 5
bums, 5
dj am, 34
jonesy, 83
designer, 34
poor mom, 21
a voice, 168
programmer, 10
salesman, 54
firkle, 98
celine dion, 102
official 1, 73
thin plumber, 14
rex, 1
official 2, 40
kid's mom, 17
announcer, 2065
rep, 57
homeless advisor, 158
pricipal victoria, 32
denver goalie, 5
tardy man, 11
commentator 2, 41
commentator 1, 61
robert redford, 109
female fan, 4
spectator 2, 22
red, 284
michael deets, 105
fc announcer, 28
harold, 29
scary assistant, 17
swat officer 4, 10
jessica, 39
frank, 244
molly, 1
john elway, 26
frans, 170
bar patron 2, 19
aarp member 3, 3
intruder, 86
crab leader, 40
advisor, 21
some men, 5
fbi leader, 33
princess, 31
minstrel, 65
elderly woman 4, 11
elderly woman 6, 10
jimmy buffett, 47
elderly woman 1, 20
elderly woman 2, 9
elderly woman 3, 7
obese man, 2
french cardinal, 24
stephen abootman, 304
david, 180
short man, 26
mr. grazier, 136
farmer carl, 59
cleric 3, 32
nobunaga, 9
waitress, 129
mr. stevenson, 91
geddy lee, 19
charlie brown, 11
charise, 32
firefighter, 8
jesus, 1029
staffer 2, 32
staffer 3, 13
muhammad, 4
staffer 1, 23
number 24, 14
female agent, 28
owner, 69
dr. hallis, 180
"red, 2
man 9, 65
man 8, 89
beary, 70
iggy's ass, 7
yoko ono, 68
male diner, 30
man 1, 473
iraqi general, 66
man 3, 278
man 2, 418
man 5, 133
man 4, 202
man 7, 123
man 6, 107
mall bunny, 58
white official, 33
two guys, 2
redneck 25, 4
sergeant, 109
mrs. landis, 31
bulter, 7
missy, 4
network anchor, 46
toodee, 6
barbardy, 10
bar patrons, 2
mrs. polk, 23
lamont, 204
aaron brown, 133
other vampires, 2
grandpa, 247
pat o'brien, 40
john walsh, 63
prop. 10 supporter, 4
lamond, 198
the kids of south park elementary, 73
bodyguard, 3
ben, 131
p. sanchez, 6
manning, 14
dc crewman, 5
stewie, 8
chef (falsetto), 54
tommy, 31
fingerbang, 29
mackey, 224
man 32, 4
emmett, 13
mingie, 321
reveler 3, 1
man 25, 4
obese lady, 5
anthropologist, 84
the pope, 10
kfc exec, 43
the boy, 5
elderlay man, 1
bertha, 15
receptionist, 308
uncle howard, 12
pewdiepie, 126
incredibly obese black man, 11
man in briefs, 8
the three adults, 1
milly, 31
deery deer, 13
hare 1, 2
hare 2, 2
david lee roth, 17
hare 4, 2
queen elizabeth ii, 13
brad paisley, 26
hare 7, 6
a caller, 23
ual leader, 7
mr. donaldson, 142
linda, 738
martha, 196
pharmacist, 162
mrs. turner, 66
hackman, 76
brazil, 2
bear cub, 1
female activist, 4
barbra streisand, 221
cnn reporter, 67
rescuer 2, 28
rescuer 3, 13
rescuer 1, 44
rescuer 6, 5
rescuer 4, 6
rescuer 5, 5
stan/kyle/ cartman, 3
nick nolte, 43
camp soldier, 24
phyllis, 51
suzette, 27
sally, 154
class, 105
ishmael, 1
cartman and kyle, 2
greeley team, 4
mitch, 127
cia leader 2, 64
redneck 23, 3
alien 2, 24
alien 3, 1
dreadlocked peta man, 24
alien 1, 4
indy, 24
reenactor 3, 1
reenactor 1, 1
munky, 45
businessman, 14
o.j. simpson, 17
denver player 3, 7
denver player 4, 10
ho, 5
new director, 8
all the kids, 1
blaintologist, 18
sixth grade leader, 79
gail, 2
hamlet, 103
ed sullivan, 24
chris/saddam, 1
yimenez, 9
fox president, 189
soldiers, 15
mrs. tucker, 31
beary bear, 39
new kenny, 19
principal, 58
